#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
38 180 144.603 180 130.397
38.1 8.83408 141.064 3.92232 133.936
38.2 17.684 130.794 7.20168 144.206
38.3 26.5641 114.799 9.41839 160.201
38.4 35.4863 94.6436 10.4407 180.356
38.5 44.4582 72.3013 10.3487 202.699
38.6 53.4833 49.959 9.3263 225.041
38.7 62.5593 29.8037 7.58532 245.196
38.8 71.6791 13.8083 5.32969 261.192
38.9 80.8311 3.53868 2.74488 271.461
39 35.9531 0 7.34701e-14 275
39.1 99.1689 3.53868 177.255 271.461
39.2 108.321 13.8083 174.67 261.192
39.3 117.441 29.8037 172.415 245.196
39.4 126.517 49.959 170.674 225.041
39.5 135.542 72.3013 169.651 202.699
39.6 144.514 94.6436 169.559 180.356
39.7 153.436 114.799 170.582 160.201
39.8 162.316 130.794 172.798 144.206
39.9 171.166 141.064 176.078 133.936
40 180 144.603 180 130.397
40.1 8.83408 141.064 3.92232 133.936
40.2 17.684 130.794 7.20168 144.206
40.3 26.5641 114.799 9.41839 160.201
40.4 35.4863 94.6436 10.4407 180.356
40.5 44.4582 72.3013 10.3487 202.699
40.6 53.4833 49.959 9.3263 225.041
40.7 62.5593 29.8037 7.58532 245.196
40.8 71.6791 13.8083 5.32969 261.192
40.9 80.8311 3.53868 2.74488 271.461
41 53.781 0 1.38309e-13 275
41.1 99.1689 3.53868 177.255 271.461
41.2 108.321 13.8083 174.67 261.192
41.3 117.441 29.8037 172.415 245.196
41.4 126.517 49.959 170.674 225.041
41.5 135.542 72.3013 169.651 202.699
41.6 144.514 94.6436 169.559 180.356
41.7 153.436 114.799 170.582 160.201
41.8 162.316 130.794 172.798 144.206
41.9 171.166 141.064 176.078 133.936
42 5.51517e-14 144.603 2.52204e-14 130.397
42.1 8.83408 141.064 3.92232 133.936
42.2 17.684 130.794 7.20168 144.206
42.3 26.5641 114.799 9.41839 160.201
42.4 35.4863 94.6436 10.4407 180.356
42.5 44.4582 72.3013 10.3487 202.699
42.6 53.4833 49.959 9.3263 225.041
42.7 62.5593 29.8037 7.58532 245.196
42.8 71.6791 13.8083 5.32969 261.192
42.9 80.8311 3.53868 2.74488 271.461
43 37.5224 0 7.77912e-14 275
43.1 99.1689 3.53868 177.255 271.461
43.2 108.321 13.8083 174.67 261.192
43.3 117.441 29.8037 172.415 245.196
43.4 126.517 49.959 170.674 225.041
43.5 135.542 72.3013 169.651 202.699
43.6 144.514 94.6436 169.559 180.356
43.7 153.436 114.799 170.582 160.201
43.8 162.316 130.794 172.798 144.206
43.9 171.166 141.064 176.078 133.936
44 180 144.603 180 130.397
44.1 8.83408 141.064 3.92232 133.936
44.2 17.684 130.794 7.20168 144.206
44.3 26.5641 114.799 9.41839 160.201
44.4 35.4863 94.6436 10.4407 180.356
44.5 44.4582 72.3013 10.3487 202.699
44.6 53.4833 49.959 9.3263 225.041
44.7 62.5593 29.8037 7.58532 245.196
44.8 71.6791 13.8083 5.32969 261.192
44.9 80.8311 3.53868 2.74488 271.461
45 9.6772 0 1.72736e-14 275
45.1 99.1689 3.53868 177.255 271.461
45.2 108.321 13.8083 174.67 261.192
45.3 117.441 29.8037 172.415 245.196
45.4 126.517 49.959 170.674 225.041
45.5 135.542 72.3013 169.651 202.699
45.6 144.514 94.6436 169.559 180.356
45.7 153.436 114.799 170.582 160.201
45.8 162.316 130.794 172.798 144.206
45.9 171.166 141.064 176.078 133.936
46 180 144.603 180 130.397
46.1 8.83408 141.064 3.92232 133.936
46.2 17.684 130.794 7.20168 144.206
46.3 26.5641 114.799 9.41839 160.201
46.4 35.4863 94.6436 10.4407 180.356
46.5 44.4582 72.3013 10.3487 202.699
46.6 53.4833 49.959 9.3263 225.041
46.7 62.5593 29.8037 7.58532 245.196
46.8 71.6791 13.8083 5.32969 261.192
46.9 80.8311 3.53868 2.74488 271.461
47 156.882 0 180 275
47.1 99.1689 3.53868 177.255 271.461
47.2 108.321 13.8083 174.67 261.192
47.3 117.441 29.8037 172.415 245.196
47.4 126.517 49.959 170.674 225.041
47.5 135.542 72.3013 169.651 202.699
47.6 144.514 94.6436 169.559 180.356
47.7 153.436 114.799 170.582 160.201
47.8 162.316 130.794 172.798 144.206
47.9 171.166 141.064 176.078 133.936
48 180 144.603 180 130.397
48.1 8.83408 141.064 3.92232 133.936
48.2 17.684 130.794 7.20168 144.206
48.3 26.5641 114.799 9.41839 160.201
48.4 35.4863 94.6436 10.4407 180.356
48.5 44.4582 72.3013 10.3487 202.699
48.6 53.4833 49.959 9.3263 225.041
48.7 62.5593 29.8037 7.58532 245.196
48.8 71.6791 13.8083 5.32969 261.192
48.9 80.8311 3.53868 2.74488 271.461
49 55.4205 0 1.46951e-13 275
49.1 99.1689 3.53868 177.255 271.461
49.2 108.321 13.8083 174.67 261.192
49.3 117.441 29.8037 172.415 245.196
49.4 126.517 49.959 170.674 225.041
49.5 135.542 72.3013 169.651 202.699
49.6 144.514 94.6436 169.559 180.356
49.7 153.436 114.799 170.582 160.201
49.8 162.316 130.794 172.798 144.206
49.9 171.166 141.064 176.078 133.936
50 2.76106e-14 144.603 1.26261e-14 130.397
50.1 8.83408 141.064 3.92232 133.936
50.2 17.684 130.794 7.20168 144.206
50.3 26.5641 114.799 9.41839 160.201
50.4 35.4863 94.6436 10.4407 180.356
50.5 44.4582 72.3013 10.3487 202.699
50.6 53.4833 49.959 9.3263 225.041
50.7 62.5593 29.8037 7.58532 245.196
50.8 71.6791 13.8083 5.32969 261.192
50.9 80.8311 3.53868 2.74488 271.461
51 40.473 0 8.64334e-14 275
51.1 99.1689 3.53868 177.255 271.461
51.2 108.321 13.8083 174.67 261.192
51.3 117.441 29.8037 172.415 245.196
51.4 126.517 49.959 170.674 225.041
51.5 135.542 72.3013 169.651 202.699
51.6 144.514 94.6436 169.559 180.356
51.7 153.436 114.799 170.582 160.201
51.8 162.316 130.794 172.798 144.206
51.9 171.166 141.064 176.078 133.936
52 2.20467e-13 144.603 1.00818e-13 130.397
52.1 8.83408 141.064 3.92232 133.936
52.2 17.684 130.794 7.20168 144.206
52.3 26.5641 114.799 9.41839 160.201
52.4 35.4863 94.6436 10.4407 180.356
52.5 44.4582 72.3013 10.3487 202.699
52.6 53.4833 49.959 9.3263 225.041
52.7 62.5593 29.8037 7.58532 245.196
52.8 71.6791 13.8083 5.32969 261.192
52.9 80.8311 3.53868 2.74488 271.461
53 14.3507 0 2.59158e-14 275
53.1 99.1689 3.53868 177.255 271.461
53.2 108.321 13.8083 174.67 261.192
53.3 117.441 29.8037 172.415 245.196
53.4 126.517 49.959 170.674 225.041
53.5 135.542 72.3013 169.651 202.699
53.6 144.514 94.6436 169.559 180.356
53.7 153.436 114.799 170.582 160.201
53.8 162.316 130.794 172.798 144.206
53.9 171.166 141.064 176.078 133.936
54 180 144.603 180 130.397
54.1 8.83408 141.064 3.92232 133.936
54.2 17.684 130.794 7.20168 144.206
54.3 26.5641 114.799 9.41839 160.201
54.4 35.4863 94.6436 10.4407 180.356
54.5 44.4582 72.3013 10.3487 202.699
54.6 53.4833 49.959 9.3263 225.041
54.7 62.5593 29.8037 7.58532 245.196
54.8 71.6791 13.8083 5.32969 261.192
54.9 80.8311 3.53868 2.74488 271.461
55 161.141 0 180 275
55.1 99.1689 3.53868 177.255 271.461
55.2 108.321 13.8083 174.67 261.192
55.3 117.441 29.8037 172.415 245.196
55.4 126.517 49.959 170.674 225.041
55.5 135.542 72.3013 169.651 202.699
55.6 144.514 94.6436 169.559 180.356
55.7 153.436 114.799 170.582 160.201
55.8 162.316 130.794 172.798 144.206
55.9 171.166 141.064 176.078 133.936
56 180 144.603 180 130.397
56.1 8.83408 141.064 3.92232 133.936
56.2 17.684 130.794 7.20168 144.206
56.3 26.5641 114.799 9.41839 160.201
56.4 35.4863 94.6436 10.4407 180.356
56.5 44.4582 72.3013 10.3487 202.699
56.6 53.4833 49.959 9.3263 225.041
56.7 62.5593 29.8037 7.58532 245.196
56.8 71.6791 13.8083 5.32969 261.192
56.9 80.8311 3.53868 2.74488 271.461
57 56.9343 0 1.55593e-13 275
57.1 99.1689 3.53868 177.255 271.461
57.2 108.321 13.8083 174.67 261.192
57.3 117.441 29.8037 172.415 245.196
57.4 126.517 49.959 170.674 225.041
57.5 135.542 72.3013 169.651 202.699
57.6 144.514 94.6436 169.559 180.356
57.7 153.436 114.799 170.582 160.201
57.8 162.316 130.794 172.798 144.206
57.9 171.166 141.064 176.078 133.936
58 6.96011e-17 144.603 3.1828e-17 130.397
58.1 8.83408 141.064 3.92232 133.936
58.2 17.684 130.794 7.20168 144.206
58.3 26.5641 114.799 9.41839 160.201
58.4 35.4863 94.6436 10.4407 180.356
58.5 44.4582 72.3013 10.3487 202.699
58.6 53.4833 49.959 9.3263 225.041
58.7 62.5593 29.8037 7.58532 245.196
58.8 71.6791 13.8083 5.32969 261.192
58.9 80.8311 3.53868 2.74488 271.461
59 43.1853 0 9.50757e-14 275
59.1 99.1689 3.53868 177.255 271.461
59.2 108.321 13.8083 174.67 261.192
59.3 117.441 29.8037 172.415 245.196
59.4 126.517 49.959 170.674 225.041
59.5 135.542 72.3013 169.651 202.699
59.6 144.514 94.6436 169.559 180.356
59.7 153.436 114.799 170.582 160.201
59.8 162.316 130.794 172.798 144.206
59.9 171.166 141.064 176.078 133.936
60 180 144.603 180 130.397
60.1 8.83408 141.064 3.92232 133.936
60.2 17.684 130.794 7.20168 144.206
60.3 26.5641 114.799 9.41839 160.201
60.4 35.4863 94.6436 10.4407 180.356
60.5 44.4582 72.3013 10.3487 202.699
60.6 53.4833 49.959 9.3263 225.041
60.7 62.5593 29.8037 7.58532 245.196
60.8 71.6791 13.8083 5.32969 261.192
60.9 80.8311 3.53868 2.74488 271.461
61 18.8373 0 3.45581e-14 275
61.1 99.1689 3.53868 177.255 271.461
61.2 108.321 13.8083 174.67 261.192
61.3 117.441 29.8037 172.415 245.196
61.4 126.517 49.959 170.674 225.041
61.5 135.542 72.3013 169.651 202.699
61.6 144.514 94.6436 169.559 180.356
61.7 153.436 114.799 170.582 160.201
61.8 162.316 130.794 172.798 144.206
61.9 171.166 141.064 176.078 133.936
62 180 144.603 180 130.397
62.1 8.83408 141.064 3.92232 133.936
62.2 17.684 130.794 7.20168 144.206
62.3 26.5641 114.799 9.41839 160.201
62.4 35.4863 94.6436 10.4407 180.356
62.5 44.4582 72.3013 10.3487 202.699
62.6 53.4833 49.959 9.3263 225.041
62.7 62.5593 29.8037 7.58532 245.196
62.8 71.6791 13.8083 5.32969 261.192
62.9 80.8311 3.53868 2.74488 271.461
63 165.626 0 180 275
63.1 99.1689 3.53868 177.255 271.461
63.2 108.321 13.8083 174.67 261.192
63.3 117.441 29.8037 172.415 245.196
63.4 126.517 49.959 170.674 225.041
63.5 135.542 72.3013 169.651 202.699
63.6 144.514 94.6436 169.559 180.356
63.7 153.436 114.799 170.582 160.201
63.8 162.316 130.794 172.798 144.206
63.9 171.166 141.064 176.078 133.936
64 180 144.603 180 130.397
64.1 8.83408 141.064 3.92232 133.936
64.2 17.684 130.794 7.20168 144.206
64.3 26.5641 114.799 9.41839 160.201
64.4 35.4863 94.6436 10.4407 180.356
64.5 44.4582 72.3013 10.3487 202.699
64.6 53.4833 49.959 9.3263 225.041
64.7 62.5593 29.8037 7.58532 245.196
64.8 71.6791 13.8083 5.32969 261.192
64.9 80.8311 3.53868 2.74488 271.461
65 58.3345 0 1.64236e-13 275
65.1 99.1689 3.53868 177.255 271.461
65.2 108.321 13.8083 174.67 261.192
65.3 117.441 29.8037 172.415 245.196
65.4 126.517 49.959 170.674 225.041
65.5 135.542 72.3013 169.651 202.699
65.6 144.514 94.6436 169.559 180.356
