#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
30 180 105.572 180 152.376
30.1 10.5446 103.087 2.53514 154.86
30.2 21.1984 95.8762 4.71666 162.071
30.3 32.0868 84.6451 6.28198 173.302
30.4 43.3748 70.4931 7.10241 187.454
30.5 55.3141 54.8054 7.17164 203.142
30.6 68.3486 39.1177 6.56655 218.83
30.7 83.3868 24.9656 5.40803 232.982
30.8 102.6 13.7345 3.83396 244.213
30.9 131.766 6.52368 1.98512 251.424
31 180 4.03899 4.6967e-14 253.908
31.1 48.2344 6.52368 178.015 251.424
31.2 77.4001 13.7345 176.166 244.213
31.3 96.6132 24.9656 174.592 232.982
31.4 111.651 39.1177 173.433 218.83
31.5 124.686 54.8054 172.828 203.142
31.6 136.625 70.4931 172.898 187.454
31.7 147.913 84.6451 173.718 173.302
31.8 158.802 95.8762 175.283 162.071
31.9 169.455 103.087 177.465 154.86
32 180 105.572 180 152.376
32.1 10.5446 103.087 2.53514 154.86
32.2 21.1984 95.8762 4.71666 162.071
32.3 32.0868 84.6451 6.28198 173.302
32.4 43.3748 70.4931 7.10241 187.454
32.5 55.3141 54.8054 7.17164 203.142
32.6 68.3486 39.1177 6.56655 218.83
32.7 83.3868 24.9656 5.40803 232.982
32.8 102.6 13.7345 3.83396 244.213
32.9 131.766 6.52368 1.98512 251.424
33 180 4.03899 3.1227e-15 253.908
33.1 48.2344 6.52368 178.015 251.424
33.2 77.4001 13.7345 176.166 244.213
33.3 96.6132 24.9656 174.592 232.982
33.4 111.651 39.1177 173.433 218.83
33.5 124.686 54.8054 172.828 203.142
33.6 136.625 70.4931 172.898 187.454
33.7 147.913 84.6451 173.718 173.302
33.8 158.802 95.8762 175.283 162.071
33.9 169.455 103.087 177.465 154.86
34 9.8568e-14 105.572 2.43221e-14 152.376
34.1 10.5446 103.087 2.53514 154.86
34.2 21.1984 95.8762 4.71666 162.071
34.3 32.0868 84.6451 6.28198 173.302
34.4 43.3748 70.4931 7.10241 187.454
34.5 55.3141 54.8054 7.17164 203.142
34.6 68.3486 39.1177 6.56655 218.83
34.7 83.3868 24.9656 5.40803 232.982
34.8 102.6 13.7345 3.83396 244.213
34.9 131.766 6.52368 1.98512 251.424
35 180 4.03899 5.00976e-14 253.908
35.1 48.2344 6.52368 178.015 251.424
35.2 77.4001 13.7345 176.166 244.213
35.3 96.6132 24.9656 174.592 232.982
35.4 111.651 39.1177 173.433 218.83
35.5 124.686 54.8054 172.828 203.142
35.6 136.625 70.4931 172.898 187.454
35.7 147.913 84.6451 173.718 173.302
35.8 158.802 95.8762 175.283 162.071
35.9 169.455 103.087 177.465 154.86
36 180 105.572 180 152.376
36.1 10.5446 103.087 2.53514 154.86
36.2 21.1984 95.8762 4.71666 162.071
36.3 32.0868 84.6451 6.28198 173.302
36.4 43.3748 70.4931 7.10241 187.454
36.5 55.3141 54.8054 7.17164 203.142
36.6 68.3486 39.1177 6.56655 218.83
36.7 83.3868 24.9656 5.40803 232.982
36.8 102.6 13.7345 3.83396 244.213
36.9 131.766 6.52368 1.98512 251.424
37 180 4.03899 6.25331e-15 253.908
37.1 48.2344 6.52368 178.015 251.424
37.2 77.4001 13.7345 176.166 244.213
37.3 96.6132 24.9656 174.592 232.982
37.4 111.651 39.1177 173.433 218.83
37.5 124.686 54.8054 172.828 203.142
37.6 136.625 70.4931 172.898 187.454
37.7 147.913 84.6451 173.718 173.302
37.8 158.802 95.8762 175.283 162.071
37.9 169.455 103.087 177.465 154.86
38 180 105.572 180 152.376
38.1 10.5446 103.087 2.53514 154.86
38.2 21.1984 95.8762 4.71666 162.071
38.3 32.0868 84.6451 6.28198 173.302
38.4 43.3748 70.4931 7.10241 187.454
38.5 55.3141 54.8054 7.17164 203.142
38.6 68.3486 39.1177 6.56655 218.83
38.7 83.3868 24.9656 5.40803 232.982
38.8 102.6 13.7345 3.83396 244.213
38.9 131.766 6.52368 1.98512 251.424
39 180 4.03899 5.32283e-14 253.908
39.1 48.2344 6.52368 178.015 251.424
39.2 77.4001 13.7345 176.166 244.213
39.3 96.6132 24.9656 174.592 232.982
39.4 111.651 39.1177 173.433 218.83
39.5 124.686 54.8054 172.828 203.142
39.6 136.625 70.4931 172.898 187.454
39.7 147.913 84.6451 173.718 173.302
39.8 158.802 95.8762 175.283 162.071
39.9 169.455 103.087 177.465 154.86
40 180 105.572 180 152.376
40.1 10.5446 103.087 2.53514 154.86
40.2 21.1984 95.8762 4.71666 162.071
40.3 32.0868 84.6451 6.28198 173.302
40.4 43.3748 70.4931 7.10241 187.454
40.5 55.3141 54.8054 7.17164 203.142
40.6 68.3486 39.1177 6.56655 218.83
40.7 83.3868 24.9656 5.40803 232.982
40.8 102.6 13.7345 3.83396 244.213
40.9 131.766 6.52368 1.98512 251.424
41 180 4.03899 1.00203e-13 253.908
41.1 48.2344 6.52368 178.015 251.424
41.2 77.4001 13.7345 176.166 244.213
41.3 96.6132 24.9656 174.592 232.982
41.4 111.651 39.1177 173.433 218.83
41.5 124.686 54.8054 172.828 203.142
41.6 136.625 70.4931 172.898 187.454
41.7 147.913 84.6451 173.718 173.302
41.8 158.802 95.8762 175.283 162.071
41.9 169.455 103.087 177.465 154.86
42 6.57396e-14 105.572 1.62216e-14 152.376
42.1 10.5446 103.087 2.53514 154.86
42.2 21.1984 95.8762 4.71666 162.071
42.3 32.0868 84.6451 6.28198 173.302
42.4 43.3748 70.4931 7.10241 187.454
42.5 55.3141 54.8054 7.17164 203.142
42.6 68.3486 39.1177 6.56655 218.83
42.7 83.3868 24.9656 5.40803 232.982
42.8 102.6 13.7345 3.83396 244.213
42.9 131.766 6.52368 1.98512 251.424
43 180 4.03899 5.63589e-14 253.908
43.1 48.2344 6.52368 178.015 251.424
43.2 77.4001 13.7345 176.166 244.213
43.3 96.6132 24.9656 174.592 232.982
43.4 111.651 39.1177 173.433 218.83
43.5 124.686 54.8054 172.828 203.142
43.6 136.625 70.4931 172.898 187.454
43.7 147.913 84.6451 173.718 173.302
43.8 158.802 95.8762 175.283 162.071
43.9 169.455 103.087 177.465 154.86
44 180 105.572 180 152.376
44.1 10.5446 103.087 2.53514 154.86
44.2 21.1984 95.8762 4.71666 162.071
44.3 32.0868 84.6451 6.28198 173.302
44.4 43.3748 70.4931 7.10241 187.454
44.5 55.3141 54.8054 7.17164 203.142
44.6 68.3486 39.1177 6.56655 218.83
44.7 83.3868 24.9656 5.40803 232.982
44.8 102.6 13.7345 3.83396 244.213
44.9 131.766 6.52368 1.98512 251.424
45 180 4.03899 1.25145e-14 253.908
45.1 48.2344 6.52368 178.015 251.424
45.2 77.4001 13.7345 176.166 244.213
45.3 96.6132 24.9656 174.592 232.982
45.4 111.651 39.1177 173.433 218.83
45.5 124.686 54.8054 172.828 203.142
45.6 136.625 70.4931 172.898 187.454
45.7 147.913 84.6451 173.718 173.302
45.8 158.802 95.8762 175.283 162.071
45.9 169.455 103.087 177.465 154.86
46 180 105.572 180 152.376
46.1 10.5446 103.087 2.53514 154.86
46.2 21.1984 95.8762 4.71666 162.071
46.3 32.0868 84.6451 6.28198 173.302
46.4 43.3748 70.4931 7.10241 187.454
46.5 55.3141 54.8054 7.17164 203.142
46.6 68.3486 39.1177 6.56655 218.83
46.7 83.3868 24.9656 5.40803 232.982
46.8 102.6 13.7345 3.83396 244.213
46.9 131.766 6.52368 1.98512 251.424
47 8.52651e-13 4.03899 180 253.908
47.1 48.2344 6.52368 178.015 251.424
47.2 77.4001 13.7345 176.166 244.213
47.3 96.6132 24.9656 174.592 232.982
47.4 111.651 39.1177 173.433 218.83
47.5 124.686 54.8054 172.828 203.142
47.6 136.625 70.4931 172.898 187.454
47.7 147.913 84.6451 173.718 173.302
47.8 158.802 95.8762 175.283 162.071
47.9 169.455 103.087 177.465 154.86
48 180 105.572 180 152.376
48.1 10.5446 103.087 2.53514 154.86
48.2 21.1984 95.8762 4.71666 162.071
48.3 32.0868 84.6451 6.28198 173.302
48.4 43.3748 70.4931 7.10241 187.454
48.5 55.3141 54.8054 7.17164 203.142
48.6 68.3486 39.1177 6.56655 218.83
48.7 83.3868 24.9656 5.40803 232.982
48.8 102.6 13.7345 3.83396 244.213
48.9 131.766 6.52368 1.98512 251.424
49 180 4.03899 1.06464e-13 253.908
49.1 48.2344 6.52368 178.015 251.424
49.2 77.4001 13.7345 176.166 244.213
49.3 96.6132 24.9656 174.592 232.982
49.4 111.651 39.1177 173.433 218.83
49.5 124.686 54.8054 172.828 203.142
49.6 136.625 70.4931 172.898 187.454
49.7 147.913 84.6451 173.718 173.302
49.8 158.802 95.8762 175.283 162.071
49.9 169.455 103.087 177.465 154.86
50 3.29113e-14 105.572 8.12103e-15 152.376
50.1 10.5446 103.087 2.53514 154.86
50.2 21.1984 95.8762 4.71666 162.071
50.3 32.0868 84.6451 6.28198 173.302
50.4 43.3748 70.4931 7.10241 187.454
50.5 55.3141 54.8054 7.17164 203.142
50.6 68.3486 39.1177 6.56655 218.83
50.7 83.3868 24.9656 5.40803 232.982
50.8 102.6 13.7345 3.83396 244.213
50.9 131.766 6.52368 1.98512 251.424
51 180 4.03899 6.26201e-14 253.908
51.1 48.2344 6.52368 178.015 251.424
51.2 77.4001 13.7345 176.166 244.213
51.3 96.6132 24.9656 174.592 232.982
51.4 111.651 39.1177 173.433 218.83
51.5 124.686 54.8054 172.828 203.142
51.6 136.625 70.4931 172.898 187.454
51.7 147.913 84.6451 173.718 173.302
51.8 158.802 95.8762 175.283 162.071
51.9 169.455 103.087 177.465 154.86
52 2.62793e-13 105.572 6.48454e-14 152.376
52.1 10.5446 103.087 2.53514 154.86
52.2 21.1984 95.8762 4.71666 162.071
52.3 32.0868 84.6451 6.28198 173.302
52.4 43.3748 70.4931 7.10241 187.454
52.5 55.3141 54.8054 7.17164 203.142
52.6 68.3486 39.1177 6.56655 218.83
52.7 83.3868 24.9656 5.40803 232.982
52.8 102.6 13.7345 3.83396 244.213
52.9 131.766 6.52368 1.98512 251.424
53 180 4.03899 1.87757e-14 253.908
53.1 48.2344 6.52368 178.015 251.424
53.2 77.4001 13.7345 176.166 244.213
53.3 96.6132 24.9656 174.592 232.982
53.4 111.651 39.1177 173.433 218.83
53.5 124.686 54.8054 172.828 203.142
53.6 136.625 70.4931 172.898 187.454
53.7 147.913 84.6451 173.718 173.302
53.8 158.802 95.8762 175.283 162.071
53.9 169.455 103.087 177.465 154.86
