#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
43.6 156.469 81.7628 170.815 154.566
43.7 161.849 96.9213 171.777 139.408
43.8 167.687 108.951 173.757 127.378
43.9 173.785 116.675 176.618 119.654
44 180 119.336 180 116.993
44.1 6.21529 116.675 3.38246 119.654
44.2 12.3129 108.951 6.24315 127.378
44.3 18.1511 96.9213 8.22318 139.408
44.4 23.5315 81.7628 9.1848 154.566
44.5 28.1429 64.9594 9.16756 171.37
44.6 31.4515 48.156 8.31044 188.173
44.7 32.4737 32.9975 6.79002 203.332
44.8 29.3329 20.9676 4.7863 215.361
44.9 18.922 13.2439 2.46975 223.085
45 1.31745e-13 10.5825 1.5552e-14 225.746
45.1 161.078 13.2439 177.53 223.085
45.2 150.667 20.9676 175.214 215.361
45.3 147.526 32.9975 173.21 203.332
45.4 148.548 48.156 171.69 188.173
45.5 151.857 64.9594 170.832 171.37
45.6 156.469 81.7628 170.815 154.566
45.7 161.849 96.9213 171.777 139.408
45.8 167.687 108.951 173.757 127.378
45.9 173.785 116.675 176.618 119.654
46 180 119.336 180 116.993
46.1 6.21529 116.675 3.38246 119.654
46.2 12.3129 108.951 6.24315 127.378
46.3 18.1511 96.9213 8.22318 139.408
46.4 23.5315 81.7628 9.1848 154.566
46.5 28.1429 64.9594 9.16756 171.37
46.6 31.4515 48.156 8.31044 188.173
46.7 32.4737 32.9975 6.79002 203.332
46.8 29.3329 20.9676 4.7863 215.361
46.9 18.922 13.2439 2.46975 223.085
47 180 10.5825 180 225.746
47.1 161.078 13.2439 177.53 223.085
47.2 150.667 20.9676 175.214 215.361
47.3 147.526 32.9975 173.21 203.332
47.4 148.548 48.156 171.69 188.173
47.5 151.857 64.9594 170.832 171.37
47.6 156.469 81.7628 170.815 154.566
47.7 161.849 96.9213 171.777 139.408
47.8 167.687 108.951 173.757 127.378
47.9 173.785 116.675 176.618 119.654
48 180 119.336 180 116.993
48.1 6.21529 116.675 3.38246 119.654
48.2 12.3129 108.951 6.24315 127.378
48.3 18.1511 96.9213 8.22318 139.408
48.4 23.5315 81.7628 9.1848 154.566
48.5 28.1429 64.9594 9.16756 171.37
48.6 31.4515 48.156 8.31044 188.173
48.7 32.4737 32.9975 6.79002 203.332
48.8 29.3329 20.9676 4.7863 215.361
48.9 18.922 13.2439 2.46975 223.085
49 1.12079e-12 10.5825 1.32305e-13 225.746
49.1 161.078 13.2439 177.53 223.085
49.2 150.667 20.9676 175.214 215.361
49.3 147.526 32.9975 173.21 203.332
49.4 148.548 48.156 171.69 188.173
49.5 151.857 64.9594 170.832 171.37
49.6 156.469 81.7628 170.815 154.566
49.7 161.849 96.9213 171.777 139.408
49.8 167.687 108.951 173.757 127.378
49.9 173.785 116.675 176.618 119.654
50 1.94906e-14 119.336 1.0867e-14 116.993
50.1 6.21529 116.675 3.38246 119.654
50.2 12.3129 108.951 6.24315 127.378
50.3 18.1511 96.9213 8.22318 139.408
50.4 23.5315 81.7628 9.1848 154.566
50.5 28.1429 64.9594 9.16756 171.37
50.6 31.4515 48.156 8.31044 188.173
50.7 32.4737 32.9975 6.79002 203.332
50.8 29.3329 20.9676 4.7863 215.361
50.9 18.922 13.2439 2.46975 223.085
51 6.59223e-13 10.5825 7.78191e-14 225.746
51.1 161.078 13.2439 177.53 223.085
51.2 150.667 20.9676 175.214 215.361
51.3 147.526 32.9975 173.21 203.332
51.4 148.548 48.156 171.69 188.173
51.5 151.857 64.9594 170.832 171.37
51.6 156.469 81.7628 170.815 154.566
51.7 161.849 96.9213 171.777 139.408
51.8 167.687 108.951 173.757 127.378
51.9 173.785 116.675 176.618 119.654
52 1.5563e-13 119.336 8.67716e-14 116.993
52.1 6.21529 116.675 3.38246 119.654
52.2 12.3129 108.951 6.24315 127.378
52.3 18.1511 96.9213 8.22318 139.408
52.4 23.5315 81.7628 9.1848 154.566
52.5 28.1429 64.9594 9.16756 171.37
52.6 31.4515 48.156 8.31044 188.173
52.7 32.4737 32.9975 6.79002 203.332
52.8 29.3329 20.9676 4.7863 215.361
52.9 18.922 13.2439 2.46975 223.085
53 1.97659e-13 10.5825 2.3333e-14 225.746
53.1 161.078 13.2439 177.53 223.085
53.2 150.667 20.9676 175.214 215.361
53.3 147.526 32.9975 173.21 203.332
53.4 148.548 48.156 171.69 188.173
53.5 151.857 64.9594 170.832 171.37
53.6 156.469 81.7628 170.815 154.566
53.7 161.849 96.9213 171.777 139.408
53.8 167.687 108.951 173.757 127.378
53.9 173.785 116.675 176.618 119.654
54 180 119.336 180 116.993
54.1 6.21529 116.675 3.38246 119.654
54.2 12.3129 108.951 6.24315 127.378
54.3 18.1511 96.9213 8.22318 139.408
54.4 23.5315 81.7628 9.1848 154.566
54.5 28.1429 64.9594 9.16756 171.37
54.6 31.4515 48.156 8.31044 188.173
54.7 32.4737 32.9975 6.79002 203.332
54.8 29.3329 20.9676 4.7863 215.361
54.9 18.922 13.2439 2.46975 223.085
55 180 10.5825 180 225.746
55.1 161.078 13.2439 177.53 223.085
55.2 150.667 20.9676 175.214 215.361
55.3 147.526 32.9975 173.21 203.332
55.4 148.548 48.156 171.69 188.173
55.5 151.857 64.9594 170.832 171.37
55.6 156.469 81.7628 170.815 154.566
55.7 161.849 96.9213 171.777 139.408
55.8 167.687 108.951 173.757 127.378
55.9 173.785 116.675 176.618 119.654
56 180 119.336 180 116.993
56.1 6.21529 116.675 3.38246 119.654
56.2 12.3129 108.951 6.24315 127.378
56.3 18.1511 96.9213 8.22318 139.408
56.4 23.5315 81.7628 9.1848 154.566
56.5 28.1429 64.9594 9.16756 171.37
56.6 31.4515 48.156 8.31044 188.173
56.7 32.4737 32.9975 6.79002 203.332
56.8 29.3329 20.9676 4.7863 215.361
56.9 18.922 13.2439 2.46975 223.085
57 1.1867e-12 10.5825 1.40086e-13 225.746
57.1 161.078 13.2439 177.53 223.085
57.2 150.667 20.9676 175.214 215.361
57.3 147.526 32.9975 173.21 203.332
57.4 148.548 48.156 171.69 188.173
57.5 151.857 64.9594 170.832 171.37
57.6 156.469 81.7628 170.815 154.566
57.7 161.849 96.9213 171.777 139.408
57.8 167.687 108.951 173.757 127.378
57.9 173.785 116.675 176.618 119.654
58 4.91322e-17 119.336 2.73936e-17 116.993
58.1 6.21529 116.675 3.38246 119.654
58.2 12.3129 108.951 6.24315 127.378
58.3 18.1511 96.9213 8.22318 139.408
58.4 23.5315 81.7628 9.1848 154.566
58.5 28.1429 64.9594 9.16756 171.37
58.6 31.4515 48.156 8.31044 188.173
58.7 32.4737 32.9975 6.79002 203.332
58.8 29.3329 20.9676 4.7863 215.361
58.9 18.922 13.2439 2.46975 223.085
59 7.25137e-13 10.5825 8.56001e-14 225.746
59.1 161.078 13.2439 177.53 223.085
59.2 150.667 20.9676 175.214 215.361
59.3 147.526 32.9975 173.21 203.332
59.4 148.548 48.156 171.69 188.173
59.5 151.857 64.9594 170.832 171.37
59.6 156.469 81.7628 170.815 154.566
59.7 161.849 96.9213 171.777 139.408
59.8 167.687 108.951 173.757 127.378
59.9 173.785 116.675 176.618 119.654
60 180 119.336 180 116.993
60.1 6.21529 116.675 3.38246 119.654
60.2 12.3129 108.951 6.24315 127.378
60.3 18.1511 96.9213 8.22318 139.408
60.4 23.5315 81.7628 9.1848 154.566
60.5 28.1429 64.9594 9.16756 171.37
60.6 31.4515 48.156 8.31044 188.173
