#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
32.4 25.4659 87.1695 10.2619 153.66
32.5 30.7259 68.4756 10.1822 172.353
32.6 34.8091 49.7817 9.18427 191.047
32.7 36.7302 32.9176 7.47489 207.911
32.8 34.3824 19.5343 5.25463 221.295
32.9 23.3902 10.9416 2.70699 229.887
33 4.21236e-14 7.98079 4.25111e-15 232.848
33.1 156.61 10.9416 177.293 229.887
33.2 145.618 19.5343 174.745 221.295
33.3 143.27 32.9176 172.525 207.911
33.4 145.191 49.7817 170.816 191.047
33.5 149.274 68.4756 169.818 172.353
33.6 154.534 87.1695 169.738 153.66
33.7 160.469 104.034 170.753 136.795
33.8 166.799 117.417 172.937 123.412
33.9 173.35 126.01 176.157 114.819
34 6.24162e-14 128.97 3.70436e-14 111.859
34.1 6.65002 126.01 3.84349 114.819
34.2 13.2006 117.417 7.06263 123.412
34.3 19.5305 104.034 9.24656 136.795
34.4 25.4659 87.1695 10.2619 153.66
34.5 30.7259 68.4756 10.1822 172.353
34.6 34.8091 49.7817 9.18427 191.047
34.7 36.7302 32.9176 7.47489 207.911
34.8 34.3824 19.5343 5.25463 221.295
34.9 23.3902 10.9416 2.70699 229.887
35 6.75792e-13 7.98079 6.82009e-14 232.848
35.1 156.61 10.9416 177.293 229.887
35.2 145.618 19.5343 174.745 221.295
35.3 143.27 32.9176 172.525 207.911
35.4 145.191 49.7817 170.816 191.047
35.5 149.274 68.4756 169.818 172.353
35.6 154.534 87.1695 169.738 153.66
35.7 160.469 104.034 170.753 136.795
35.8 166.799 117.417 172.937 123.412
35.9 173.35 126.01 176.157 114.819
36 180 128.97 180 111.859
36.1 6.65002 126.01 3.84349 114.819
36.2 13.2006 117.417 7.06263 123.412
36.3 19.5305 104.034 9.24656 136.795
36.4 25.4659 87.1695 10.2619 153.66
36.5 30.7259 68.4756 10.1822 172.353
36.6 34.8091 49.7817 9.18427 191.047
36.7 36.7302 32.9176 7.47489 207.911
36.8 34.3824 19.5343 5.25463 221.295
36.9 23.3902 10.9416 2.70699 229.887
37 8.43539e-14 7.98079 8.51299e-15 232.848
37.1 156.61 10.9416 177.293 229.887
37.2 145.618 19.5343 174.745 221.295
37.3 143.27 32.9176 172.525 207.911
37.4 145.191 49.7817 170.816 191.047
37.5 149.274 68.4756 169.818 172.353
37.6 154.534 87.1695 169.738 153.66
37.7 160.469 104.034 170.753 136.795
37.8 166.799 117.417 172.937 123.412
37.9 173.35 126.01 176.157 114.819
38 180 128.97 180 111.859
38.1 6.65002 126.01 3.84349 114.819
38.2 13.2006 117.417 7.06263 123.412
38.3 19.5305 104.034 9.24656 136.795
38.4 25.4659 87.1695 10.2619 153.66
38.5 30.7259 68.4756 10.1822 172.353
38.6 34.8091 49.7817 9.18427 191.047
38.7 36.7302 32.9176 7.47489 207.911
38.8 34.3824 19.5343 5.25463 221.295
38.9 23.3902 10.9416 2.70699 229.887
39 7.18022e-13 7.98079 7.24628e-14 232.848
39.1 156.61 10.9416 177.293 229.887
39.2 145.618 19.5343 174.745 221.295
39.3 143.27 32.9176 172.525 207.911
39.4 145.191 49.7817 170.816 191.047
39.5 149.274 68.4756 169.818 172.353
39.6 154.534 87.1695 169.738 153.66
39.7 160.469 104.034 170.753 136.795
39.8 166.799 117.417 172.937 123.412
39.9 173.35 126.01 176.157 114.819
40 180 128.97 180 111.859
40.1 6.65002 126.01 3.84349 114.819
40.2 13.2006 117.417 7.06263 123.412
40.3 19.5305 104.034 9.24656 136.795
40.4 25.4659 87.1695 10.2619 153.66
40.5 30.7259 68.4756 10.1822 172.353
40.6 34.8091 49.7817 9.18427 191.047
40.7 36.7302 32.9176 7.47489 207.911
40.8 34.3824 19.5343 5.25463 221.295
40.9 23.3902 10.9416 2.70699 229.887
41 1.35169e-12 7.98079 1.36413e-13 232.848
41.1 156.61 10.9416 177.293 229.887
41.2 145.618 19.5343 174.745 221.295
41.3 143.27 32.9176 172.525 207.911
41.4 145.191 49.7817 170.816 191.047
41.5 149.274 68.4756 169.818 172.353
41.6 154.534 87.1695 169.738 153.66
41.7 160.469 104.034 170.753 136.795
41.8 166.799 117.417 172.937 123.412
41.9 173.35 126.01 176.157 114.819
42 4.16283e-14 128.97 2.47061e-14 111.859
42.1 6.65002 126.01 3.84349 114.819
42.2 13.2006 117.417 7.06263 123.412
42.3 19.5305 104.034 9.24656 136.795
42.4 25.4659 87.1695 10.2619 153.66
42.5 30.7259 68.4756 10.1822 172.353
42.6 34.8091 49.7817 9.18427 191.047
42.7 36.7302 32.9176 7.47489 207.911
42.8 34.3824 19.5343 5.25463 221.295
42.9 23.3902 10.9416 2.70699 229.887
43 7.60252e-13 7.98079 7.67247e-14 232.848
43.1 156.61 10.9416 177.293 229.887
43.2 145.618 19.5343 174.745 221.295
43.3 143.27 32.9176 172.525 207.911
43.4 145.191 49.7817 170.816 191.047
43.5 149.274 68.4756 169.818 172.353
43.6 154.534 87.1695 169.738 153.66
43.7 160.469 104.034 170.753 136.795
43.8 166.799 117.417 172.937 123.412
43.9 173.35 126.01 176.157 114.819
44 180 128.97 180 111.859
44.1 6.65002 126.01 3.84349 114.819
44.2 13.2006 117.417 7.06263 123.412
44.3 19.5305 104.034 9.24656 136.795
44.4 25.4659 87.1695 10.2619 153.66
44.5 30.7259 68.4756 10.1822 172.353
44.6 34.8091 49.7817 9.18427 191.047
44.7 36.7302 32.9176 7.47489 207.911
44.8 34.3824 19.5343 5.25463 221.295
44.9 23.3902 10.9416 2.70699 229.887
45 1.68814e-13 7.98079 1.70368e-14 232.848
45.1 156.61 10.9416 177.293 229.887
45.2 145.618 19.5343 174.745 221.295
45.3 143.27 32.9176 172.525 207.911
45.4 145.191 49.7817 170.816 191.047
45.5 149.274 68.4756 169.818 172.353
45.6 154.534 87.1695 169.738 153.66
45.7 160.469 104.034 170.753 136.795
45.8 166.799 117.417 172.937 123.412
45.9 173.35 126.01 176.157 114.819
46 180 128.97 180 111.859
46.1 6.65002 126.01 3.84349 114.819
46.2 13.2006 117.417 7.06263 123.412
46.3 19.5305 104.034 9.24656 136.795
46.4 25.4659 87.1695 10.2619 153.66
46.5 30.7259 68.4756 10.1822 172.353
46.6 34.8091 49.7817 9.18427 191.047
46.7 36.7302 32.9176 7.47489 207.911
46.8 34.3824 19.5343 5.25463 221.295
46.9 23.3902 10.9416 2.70699 229.887
47 180 7.98079 180 232.848
47.1 156.61 10.9416 177.293 229.887
47.2 145.618 19.5343 174.745 221.295
47.3 143.27 32.9176 172.525 207.911
47.4 145.191 49.7817 170.816 191.047
47.5 149.274 68.4756 169.818 172.353
47.6 154.534 87.1695 169.738 153.66
47.7 160.469 104.034 170.753 136.795
47.8 166.799 117.417 172.937 123.412
47.9 173.35 126.01 176.157 114.819
48 180 128.97 180 111.859
48.1 6.65002 126.01 3.84349 114.819
48.2 13.2006 117.417 7.06263 123.412
48.3 19.5305 104.034 9.24656 136.795
48.4 25.4659 87.1695 10.2619 153.66
48.5 30.7259 68.4756 10.1822 172.353
48.6 34.8091 49.7817 9.18427 191.047
48.7 36.7302 32.9176 7.47489 207.911
48.8 34.3824 19.5343 5.25463 221.295
48.9 23.3902 10.9416 2.70699 229.887
49 1.43615e-12 7.98079 1.44936e-13 232.848
49.1 156.61 10.9416 177.293 229.887
49.2 145.618 19.5343 174.745 221.295
49.3 143.27 32.9176 172.525 207.911
49.4 145.191 49.7817 170.816 191.047
49.5 149.274 68.4756 169.818 172.353
49.6 154.534 87.1695 169.738 153.66
49.7 160.469 104.034 170.753 136.795
49.8 166.799 117.417 172.937 123.412
49.9 173.35 126.01 176.157 114.819
50 2.08404e-14 128.97 1.23686e-14 111.859
50.1 6.65002 126.01 3.84349 114.819
50.2 13.2006 117.417 7.06263 123.412
50.3 19.5305 104.034 9.24656 136.795
50.4 25.4659 87.1695 10.2619 153.66
50.5 30.7259 68.4756 10.1822 172.353
50.6 34.8091 49.7817 9.18427 191.047
50.7 36.7302 32.9176 7.47489 207.911
50.8 34.3824 19.5343 5.25463 221.295
50.9 23.3902 10.9416 2.70699 229.887
51 8.44713e-13 7.98079 8.52484e-14 232.848
51.1 156.61 10.9416 177.293 229.887
51.2 145.618 19.5343 174.745 221.295
51.3 143.27 32.9176 172.525 207.911
51.4 145.191 49.7817 170.816 191.047
51.5 149.274 68.4756 169.818 172.353
51.6 154.534 87.1695 169.738 153.66
51.7 160.469 104.034 170.753 136.795
51.8 166.799 117.417 172.937 123.412
51.9 173.35 126.01 176.157 114.819
52 1.66408e-13 128.97 9.8762e-14 111.859
52.1 6.65002 126.01 3.84349 114.819
52.2 13.2006 117.417 7.06263 123.412
52.3 19.5305 104.034 9.24656 136.795
52.4 25.4659 87.1695 10.2619 153.66
52.5 30.7259 68.4756 10.1822 172.353
52.6 34.8091 49.7817 9.18427 191.047
52.7 36.7302 32.9176 7.47489 207.911
52.8 34.3824 19.5343 5.25463 221.295
52.9 23.3902 10.9416 2.70699 229.887
53 2.53275e-13 7.98079 2.55605e-14 232.848
53.1 156.61 10.9416 177.293 229.887
53.2 145.618 19.5343 174.745 221.295
53.3 143.27 32.9176 172.525 207.911
53.4 145.191 49.7817 170.816 191.047
53.5 149.274 68.4756 169.818 172.353
53.6 154.534 87.1695 169.738 153.66
53.7 160.469 104.034 170.753 136.795
53.8 166.799 117.417 172.937 123.412
53.9 173.35 126.01 176.157 114.819
54 180 128.97 180 111.859
54.1 6.65002 126.01 3.84349 114.819
54.2 13.2006 117.417 7.06263 123.412
54.3 19.5305 104.034 9.24656 136.795
54.4 25.4659 87.1695 10.2619 153.66
54.5 30.7259 68.4756 10.1822 172.353
54.6 34.8091 49.7817 9.18427 191.047
54.7 36.7302 32.9176 7.47489 207.911
54.8 34.3824 19.5343 5.25463 221.295
54.9 23.3902 10.9416 2.70699 229.887
55 180 7.98079 180 232.848
55.1 156.61 10.9416 177.293 229.887
55.2 145.618 19.5343 174.745 221.295
55.3 143.27 32.9176 172.525 207.911
55.4 145.191 49.7817 170.816 191.047
55.5 149.274 68.4756 169.818 172.353
55.6 154.534 87.1695 169.738 153.66
55.7 160.469 104.034 170.753 136.795
55.8 166.799 117.417 172.937 123.412
55.9 173.35 126.01 176.157 114.819
56 180 128.97 180 111.859
56.1 6.65002 126.01 3.84349 114.819
56.2 13.2006 117.417 7.06263 123.412
56.3 19.5305 104.034 9.24656 136.795
56.4 25.4659 87.1695 10.2619 153.66
56.5 30.7259 68.4756 10.1822 172.353
56.6 34.8091 49.7817 9.18427 191.047
56.7 36.7302 32.9176 7.47489 207.911
56.8 34.3824 19.5343 5.25463 221.295
56.9 23.3902 10.9416 2.70699 229.887
57 1.52061e-12 7.98079 1.5346e-13 232.848
57.1 156.61 10.9416 177.293 229.887
57.2 145.618 19.5343 174.745 221.295
57.3 143.27 32.9176 172.525 207.911
57.4 145.191 49.7817 170.816 191.047
57.5 149.274 68.4756 169.818 172.353
57.6 154.534 87.1695 169.738 153.66
57.7 160.469 104.034 170.753 136.795
57.8 166.799 117.417 172.937 123.412
57.9 173.35 126.01 176.157 114.819
58 5.25348e-17 128.97 3.1179e-17 111.859
58.1 6.65002 126.01 3.84349 114.819
58.2 13.2006 117.417 7.06263 123.412
58.3 19.5305 104.034 9.24656 136.795
58.4 25.4659 87.1695 10.2619 153.66
58.5 30.7259 68.4756 10.1822 172.353
58.6 34.8091 49.7817 9.18427 191.047
58.7 36.7302 32.9176 7.47489 207.911
58.8 34.3824 19.5343 5.25463 221.295
58.9 23.3902 10.9416 2.70699 229.887
59 9.29173e-13 7.98079 9.37722e-14 232.848
59.1 156.61 10.9416 177.293 229.887
59.2 145.618 19.5343 174.745 221.295
59.3 143.27 32.9176 172.525 207.911
59.4 145.191 49.7817 170.816 191.047
59.5 149.274 68.4756 169.818 172.353
59.6 154.534 87.1695 169.738 153.66
59.7 160.469 104.034 170.753 136.795
59.8 166.799 117.417 172.937 123.412
59.9 173.35 126.01 176.157 114.819
60 180 128.97 180 111.859
60.1 6.65002 126.01 3.84349 114.819
60.2 13.2006 117.417 7.06263 123.412
60.3 19.5305 104.034 9.24656 136.795
60.4 25.4659 87.1695 10.2619 153.66
60.5 30.7259 68.4756 10.1822 172.353
60.6 34.8091 49.7817 9.18427 191.047
60.7 36.7302 32.9176 7.47489 207.911
