#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
25.7 160.06 106.326 170.43 136.003
25.8 166.536 120.132 172.676 122.198
25.9 173.221 128.995 176.009 113.334
26 8.4798e-14 132.049 5.13073e-14 110.28
26.1 6.77865 128.995 3.99126 113.334
26.2 13.4637 120.132 7.32361 122.198
26.3 19.9403 106.326 9.56974 136.003
26.4 26.0431 88.9306 10.5991 153.398
26.5 31.5023 69.6473 10.4974 172.682
26.6 35.8309 50.364 9.45407 191.965
26.7 38.0555 32.9684 7.68536 209.361
26.8 36.0258 19.1631 5.39809 223.166
26.9 24.9673 10.2995 2.77953 232.029
27 6.40223e-13 7.24538 6.12663e-14 235.084
27.1 155.033 10.2995 177.22 232.029
27.2 143.974 19.1631 174.602 223.166
27.3 141.945 32.9684 172.315 209.361
27.4 144.169 50.364 170.546 191.965
27.5 148.498 69.6473 169.503 172.682
27.6 153.957 88.9306 169.401 153.398
27.7 160.06 106.326 170.43 136.003
27.8 166.536 120.132 172.676 122.198
27.9 173.221 128.995 176.009 113.334
28 180 132.049 180 110.28
28.1 6.77865 128.995 3.99126 113.334
28.2 13.4637 120.132 7.32361 122.198
28.3 19.9403 106.326 9.56974 136.003
28.4 26.0431 88.9306 10.5991 153.398
28.5 31.5023 69.6473 10.4974 172.682
28.6 35.8309 50.364 9.45407 191.965
28.7 38.0555 32.9684 7.68536 209.361
28.8 36.0258 19.1631 5.39809 223.166
28.9 24.9673 10.2995 2.77953 232.029
29 180 7.24538 180 235.084
29.1 155.033 10.2995 177.22 232.029
29.2 143.974 19.1631 174.602 223.166
29.3 141.945 32.9684 172.315 209.361
29.4 144.169 50.364 170.546 191.965
29.5 148.498 69.6473 169.503 172.682
29.6 153.957 88.9306 169.401 153.398
29.7 160.06 106.326 170.43 136.003
29.8 166.536 120.132 172.676 122.198
29.9 173.221 128.995 176.009 113.334
30 180 132.049 180 110.28
30.1 6.77865 128.995 3.99126 113.334
30.2 13.4637 120.132 7.32361 122.198
30.3 19.9403 106.326 9.56974 136.003
30.4 26.0431 88.9306 10.5991 153.398
30.5 31.5023 69.6473 10.4974 172.682
30.6 35.8309 50.364 9.45407 191.965
30.7 38.0555 32.9684 7.68536 209.361
30.8 36.0258 19.1631 5.39809 223.166
30.9 24.9673 10.2995 2.77953 232.029
31 6.85944e-13 7.24538 6.56417e-14 235.084
31.1 155.033 10.2995 177.22 232.029
31.2 143.974 19.1631 174.602 223.166
31.3 141.945 32.9684 172.315 209.361
31.4 144.169 50.364 170.546 191.965
31.5 148.498 69.6473 169.503 172.682
31.6 153.957 88.9306 169.401 153.398
31.7 160.06 106.326 170.43 136.003
31.8 166.536 120.132 172.676 122.198
31.9 173.221 128.995 176.009 113.334
32 180 132.049 180 110.28
32.1 6.77865 128.995 3.99126 113.334
32.2 13.4637 120.132 7.32361 122.198
32.3 19.9403 106.326 9.56974 136.003
32.4 26.0431 88.9306 10.5991 153.398
32.5 31.5023 69.6473 10.4974 172.682
32.6 35.8309 50.364 9.45407 191.965
32.7 38.0555 32.9684 7.68536 209.361
32.8 36.0258 19.1631 5.39809 223.166
32.9 24.9673 10.2995 2.77953 232.029
33 4.56064e-14 7.24538 4.36432e-15 235.084
33.1 155.033 10.2995 177.22 232.029
33.2 143.974 19.1631 174.602 223.166
33.3 141.945 32.9684 172.315 209.361
33.4 144.169 50.364 170.546 191.965
33.5 148.498 69.6473 169.503 172.682
33.6 153.957 88.9306 169.401 153.398
33.7 160.06 106.326 170.43 136.003
33.8 166.536 120.132 172.676 122.198
33.9 173.221 128.995 176.009 113.334
34 6.36119e-14 132.049 3.84886e-14 110.28
34.1 6.77865 128.995 3.99126 113.334
34.2 13.4637 120.132 7.32361 122.198
34.3 19.9403 106.326 9.56974 136.003
34.4 26.0431 88.9306 10.5991 153.398
34.5 31.5023 69.6473 10.4974 172.682
34.6 35.8309 50.364 9.45407 191.965
34.7 38.0555 32.9684 7.68536 209.361
34.8 36.0258 19.1631 5.39809 223.166
34.9 24.9673 10.2995 2.77953 232.029
35 7.31666e-13 7.24538 7.00171e-14 235.084
35.1 155.033 10.2995 177.22 232.029
35.2 143.974 19.1631 174.602 223.166
35.3 141.945 32.9684 172.315 209.361
35.4 144.169 50.364 170.546 191.965
35.5 148.498 69.6473 169.503 172.682
35.6 153.957 88.9306 169.401 153.398
35.7 160.06 106.326 170.43 136.003
35.8 166.536 120.132 172.676 122.198
35.9 173.221 128.995 176.009 113.334
36 180 132.049 180 110.28
36.1 6.77865 128.995 3.99126 113.334
36.2 13.4637 120.132 7.32361 122.198
36.3 19.9403 106.326 9.56974 136.003
36.4 26.0431 88.9306 10.5991 153.398
36.5 31.5023 69.6473 10.4974 172.682
36.6 35.8309 50.364 9.45407 191.965
36.7 38.0555 32.9684 7.68536 209.361
36.8 36.0258 19.1631 5.39809 223.166
36.9 24.9673 10.2995 2.77953 232.029
37 9.13283e-14 7.24538 8.73969e-15 235.084
37.1 155.033 10.2995 177.22 232.029
37.2 143.974 19.1631 174.602 223.166
37.3 141.945 32.9684 172.315 209.361
37.4 144.169 50.364 170.546 191.965
37.5 148.498 69.6473 169.503 172.682
37.6 153.957 88.9306 169.401 153.398
37.7 160.06 106.326 170.43 136.003
37.8 166.536 120.132 172.676 122.198
37.9 173.221 128.995 176.009 113.334
38 180 132.049 180 110.28
38.1 6.77865 128.995 3.99126 113.334
38.2 13.4637 120.132 7.32361 122.198
38.3 19.9403 106.326 9.56974 136.003
38.4 26.0431 88.9306 10.5991 153.398
38.5 31.5023 69.6473 10.4974 172.682
38.6 35.8309 50.364 9.45407 191.965
38.7 38.0555 32.9684 7.68536 209.361
38.8 36.0258 19.1631 5.39809 223.166
38.9 24.9673 10.2995 2.77953 232.029
39 7.77388e-13 7.24538 7.43924e-14 235.084
39.1 155.033 10.2995 177.22 232.029
39.2 143.974 19.1631 174.602 223.166
39.3 141.945 32.9684 172.315 209.361
39.4 144.169 50.364 170.546 191.965
39.5 148.498 69.6473 169.503 172.682
39.6 153.957 88.9306 169.401 153.398
39.7 160.06 106.326 170.43 136.003
39.8 166.536 120.132 172.676 122.198
39.9 173.221 128.995 176.009 113.334
40 180 132.049 180 110.28
40.1 6.77865 128.995 3.99126 113.334
40.2 13.4637 120.132 7.32361 122.198
40.3 19.9403 106.326 9.56974 136.003
40.4 26.0431 88.9306 10.5991 153.398
40.5 31.5023 69.6473 10.4974 172.682
40.6 35.8309 50.364 9.45407 191.965
40.7 38.0555 32.9684 7.68536 209.361
40.8 36.0258 19.1631 5.39809 223.166
40.9 24.9673 10.2995 2.77953 232.029
41 1.46345e-12 7.24538 1.40045e-13 235.084
41.1 155.033 10.2995 177.22 232.029
41.2 143.974 19.1631 174.602 223.166
41.3 141.945 32.9684 172.315 209.361
41.4 144.169 50.364 170.546 191.965
41.5 148.498 69.6473 169.503 172.682
41.6 153.957 88.9306 169.401 153.398
41.7 160.06 106.326 170.43 136.003
41.8 166.536 120.132 172.676 122.198
41.9 173.221 128.995 176.009 113.334
42 4.24258e-14 132.049 2.56699e-14 110.28
