Energy CM (MeV)	Angle CM (deg)
0.1775	160.4719
0.9503	147.3531
0.9692	143.7172
0.1083	93.7113
0.9297	151.9973
1.2563	113.1640
1.0931	126.9639
2.3989	162.6580
0.1392	119.7271
1.9002	85.4796
11256.5938	5.5569
1.0697	54.8249
0.9126	156.6512
74.4344	12.4348
0.9181	155.0428
2.3945	85.0184
0.9196	154.6332
1.0797	128.4118
0.3990	112.2702
1.0068	137.6150
0.1909	119.3235
1.9010	119.2898
0.0590	159.5258
2.0744	123.4771
25.7417	9.4305
0.0843	145.4218
1.0722	129.2370
0.0813	86.7096
0.6412	165.1886
0.9847	141.0432
1.0875	127.5663
697.0718	15.7428
0.9437	148.7541
0.3477	105.9636
0.9311	151.6360
0.0645	114.3740
4.2898	157.1747
0.9017	160.2677
0.1357	134.7807
0.8904	164.9963
46.8617	11.7900
69.5487	12.8669
0.9891	140.3385
0.9496	147.4985
0.9835	141.2471
0.9635	144.7629
0.9959	139.2567
99.9179	154.3584
0.9260	152.9119
1.8226	87.7291
1.0249	135.0626
0.9236	153.5521
289.2356	18.2097
8.0330	81.1930
0.6169	89.2096
1.6139	94.8518
0.2746	148.6505
1.5597	97.0233
1.3506	164.7691
0.9501	147.3857
1.2794	111.6006
353.8208	123.3667
0.0605	127.0931
0.7140	146.3332
1.5210	165.3857
25.9501	84.2309
0.9990	138.7882
3.9986	136.9927
1.0266	120.6225
0.8942	163.2682
874.2561	13.7529
27.2841	169.2103
1.2965	47.0134
0.9094	157.6337
1.6236	94.4819
1.0324	134.0695
0.9062	158.7092
16.7407	115.4294
1.4940	99.8822
1483.0497	6.4432
0.0679	134.2083
7.0163	45.7518
3.6742	82.3990
0.3491	47.9464
1.6262	94.3807
37.1322	33.4699
0.9913	139.9860
11.6042	120.8031
1839.2074	17.4192
3365678.4972	1.5870
2.7839	130.5650
1.0194	135.8163
0.9395	149.6730
36.1193	17.8999
1.1309	123.2176
0.8828	169.4089
0.1257	146.4009
0.1281	163.0914
153.6282	30.0687
