    a0p5smza				     A T O M I C   M A S S   A D J U S T M E N T
						     DATE 19 Nov 2003 TIME 17:22
	**************************			    A=   0 TO 293
	* file : mass.mas03round *
	**************************

  This is one file out of a series of 3 files published in:
      "The Ame2003 atomic mass evaluation (II)"  by G.Audi, A.H.Wapstra and C.Thibault
	  Nuclear Physics A729 p. 337-676, December 22, 2003.
		      for files : mass.mas03  atomic masses
				  rct1.mas03  react and sep energies,  part 1
				  rct2.mas03  react and sep energies,  part 2

  A fourth file  is the "Rounded" version of the atomic mass table (the first file)
				  mass.mas03round  atomic masses "Rounded" version

  All files are 3179 lines long with 124 character per line.
      Headers are 39 lines long.

  Values in the files 1, 2 and 3 are exact (unrounded) copy of the published ones
  Values in the files 4 	 are exact	       copy of the published ones

  col 1     :  Fortran character control: 1 = page feed  0 = line feed
  format    :  a1,i3,i5,i5,i5,1x,a3,a4,1x,f13.5,f11.5,f11.3,f9.3,1x,a2,f11.3,f9.3,1x,i3,1x,f12.5,f11.3,1x
	       cc NZ  N  Z  A	 el  o     mass  unc binding unc     B  beta  unc    atomic_mass   unc
  Warnings  :  this format is not identical to the one used in Ame1993 and Ame1995
		     in particular "Mass Excess" and "Atomic Mass" values are given now, when necessary,
		     with 5 digits after decimal point.
		     also, the "Binding Energy" column is replaced by a "Binding Energy per A" one.
	       decimal point is replaced by # for (non-experimental) estimated values.
	       * in place of value : not calculable

...+....1....+....2....+....3....+....4....+....5....+....6....+....7....+....8....+....9....+...10....+...11....+...12....
							      MASS LIST
							    ground states
							   for publication
						       (rounding threshold 30)
       N    Z	A  El	    Mass Excess 	Binding Energy/A   	    Atomic Mass
			       (keV)		      (keV)	              (micro-u)
      22   17	   Cl    38968008.2	   1.9
      21   18	   Ar    38964313	   5
      20   19	   K     38963706.68	   0.20
      19   20	   Ca    38970719.7	   2.0
      18   21	   Sc    38984790	  26
      17   22	   Ti    39001610#	 220#
      28   12	40 Mg    40053930#	 970#
      27   13	   Al    40031450#	 750#
      26   14	   Si    40005870	 600
      25   15	   P     39991300	 150
      24   16	   S     39975450	 150
      23   17	   Cl    39970420	  30
      22   18	   Ar    39962383.1225     0.0029
      21   19	   K     39963998.48	   0.21
      20   20	   Ca    39962590.98	   0.22
      19   21	   Sc    39977967	   3
      18   22	   Ti    39990500	 170
      17   23	   V     40011090#	 540#
      28   13	41 Al    41038330#	 860#
      27   14	   Si    41014560	1980
      26   15	   P     40994340	 230
      25   16	   S     40979580	 130
      24   17	   Cl    40970680	  70
      23   18	   Ar    40964500.6	   0.4
      22   19	   K     40961825.76	   0.21
      21   20	   Ca    40962278.06	   0.26
      20   21	   Sc    40969251.13	   0.24
      19   22	   Ti    40983150#	 110#
      18   23	   V     40999780#	 220#
      29   13	42 Al    42046890#	 970#
      28   14	   Si    42019790#	 540#
      27   15	   P     42001010	 480
      26   16	   S     41981020	 130
      25   17	   Cl    41973250	 150
      24   18	   Ar    41963046	   6
      23   19	   K     41962402.81	   0.24
      22   20	   Ca    41958618.01	   0.27
      21   21	   Sc    41965516.43	   0.29
      20   22	   Ti    41973031	   6
      19   23	   V     41991230#	 210#
      18   24	   Cr    42006430#	 320#
      29   14	43 Si    43028660#	 750#
      28   15	   P     43006190	1040
      27   16	   S     42987150	 220
      26   17	   Cl    42974050	 170
      25   18	   Ar    42965636	   6
      24   19	   K     42960716	  10
      23   20	   Ca    42958766.6	   0.3
      22   21	   Sc    42961150.7	   2.0
      21   22	   Ti    42968522	   7
      20   23	   V     42980650#	 250#
      19   24	   Cr    42997710#	 240#
      30   14	44 Si    44035260#	 860#
      29   15	   P     44012990#	 750#
      28   16	   S     43990210	 420
      27   17	   Cl    43978280	 120
      26   18	   Ar    43964924.0	   1.7
      25   19	   K     43961560	  40
      24   20	   Ca    43955481.8	   0.4
      23   21	   Sc    43959402.8	   1.9
      22   22	   Ti    43959690.1	   0.8
      21   23	   V     43974110	 130
      20   24	   Cr    43985550#	  50#
      19   25	   Mn    44006870#	 540#
      30   15	45 P     45019220#	 860#
      29   16	   S     44996510	1870
      28   17	   Cl    44980290	 130
      27   18	   Ar    44968040.0	   0.6
      26   19	   K     44960699	  11
      25   20	   Ca    44956186.6	   0.4
      24   21	   Sc    44955911.9	   0.9
      23   22	   Ti    44958125.6	   1.1
      22   23	   V     44965776	  18
      21   24	   Cr    44979640	 540
      20   25	   Mn    44994510#	 320#
      19   26	   Fe    45014580#	 240#
      31   15	46 P     46027380#	 970#
      30   16	   S     46000750#	 750#
      29   17	   Cl    45984210	 770
      28   18	   Ar    45968090	  40
      27   19	   K     45961977	  17
      26   20	   Ca    45953692.6	   2.4
      25   21	   Sc    45955171.9	   0.9
      24   22	   Ti    45952631.6	   0.9
      23   23	   V     45960200.5	   1.1
      22   24	   Cr    45968359	  21
      21   25	   Mn    45986720#	 120#
      20   26	   Fe    46000810#	 380#
      31   16	47 S     47008590#	 860#
      30   17	   Cl    46988710#	 640#
      29   18	   Ar    46972190	 110
      28   19	   K     46961678	   9
      27   20	   Ca    46954546.0	   2.4
      26   21	   Sc    46952407.5	   2.2
      25   22	   Ti    46951763.1	   0.9
      24   23	   V     46954908.9	   0.9
      23   24	   Cr    46962900	  15
      22   25	   Mn    46976100#	 170#
      21   26	   Fe    46992890#	 280#
      20   27	   Co    47011490#	 540#
      32   16	48 S     48014170#	 970#
      31   17	   Cl    47994950#	 750#
      30   18	   Ar    47974540#	 320#
      29   19	   K     47965514	  26
      28   20	   Ca    47952534	   4
      27   21	   Sc    47952231	   6
      26   22	   Ti    47947946.3	   0.9
      25   23	   V     47952253.7	   2.7
      24   24	   Cr    47954032	   8
      23   25	   Mn    47968520	 120
      22   26	   Fe    47980500#	  80#
      21   27	   Co    48001760#	 430#
      20   28	   Ni    48019750#	 540#
      33   16	49 S     49023620#	1020#
      32   17	   Cl    49000320#	 860#
      31   18	   Ar    48980520#	 540#
      30   19	   K     48967450	  80
      29   20	   Ca    48955674	   4
      28   21	   Sc    48950024	   4
      27   22	   Ti    48947870.0	   0.9
      26   23	   V     48948516.1	   1.2
      25   24	   Cr    48951335.7	   2.6
      24   25	   Mn    48959618	  26
      23   26	   Fe    48973610#	 160#
      22   27	   Co    48989720#	 280#
      21   28	   Ni    49009660#	 430#
      33   17	50 Cl    50007840#	 970#
      32   18	   Ar    49984430#	 750#
      31   19	   K     49972780	 300
      30   20	   Ca    49957519	  10
      29   21	   Sc    49952188	  17
      28   22	   Ti    49944791.2	   0.9
      27   23	   V     49947158.5	   1.1
      26   24	   Cr    49946044.2	   1.1
      25   25	   Mn    49954238.2	   1.1
      24   26	   Fe    49962990	  60
      23   27	   Co    49981540#	 180#
      22   28	   Ni    49995930#	 280#
      34   17	51 Cl    51014490#	1070#
      33   18	   Ar    50991630#	 750#
      32   19	   K     50976380#	 540#
      31   20	   Ca    50961500	 100
      30   21	   Sc    50953603	  22
      29   22	   Ti    50946615.0	   1.0
      28   23	   V     50943959.5	   1.1
      27   24	   Cr    50944767.4	   1.1
      26   25	   Mn    50948210.8	   1.1
      25   26	   Fe    50956820	  16
      24   27	   Co    50970720#	 160#
      23   28	   Ni    50987720#	 280#
      34   18	52 Ar    51996780#	 970#
      33   19	   K     51982610#	 750#
      32   20	   Ca    51965100	 750
      31   21	   Sc    51956680	 210
      30   22	   Ti    51946897	   8
      29   23	   V     51944775.5	   1.1
      28   24	   Cr    51940507.5	   0.8
      27   25	   Mn    51945565.5	   2.1
      26   26	   Fe    51948114	   7
      25   27	   Co    51963590#	  70#
      24   28	   Ni    51975680#	  90#
      23   29	   Cu    51997180#	 280#
      35   18	53 Ar    53004940#	1070#
      34   19	   K     52987120#	 750#
      33   20	   Ca    52970050#	 540#
      32   21	   Sc    52959610#	 320#
      31   22	   Ti    52949730	 110
      30   23	   V     52944338	   3
      29   24	   Cr    52940649.4	   0.8
