CoboID,AsadID,AgetID,ChannelID,Siliconface,PadID
10,0,2,18,0,87
10,0,2,19,2,86
10,0,2,20,0,90
10,0,2,21,2,84
10,0,2,23,0,85
10,0,2,24,2,87
10,0,2,25,0,88
10,0,2,26,2,85
10,0,2,27,0,86
10,0,2,28,2,82
10,0,2,29,0,83
10,0,2,30,2,83
10,0,2,31,0,84
10,0,2,32,2,80
10,0,2,33,0,82
10,0,2,34,2,81
10,0,2,35,0,81
10,0,2,36,2,78
10,0,2,37,0,80
10,0,2,38,2,79
10,0,2,39,0,79
10,0,2,40,2,74
10,0,2,41,0,78
10,0,2,42,2,77
10,0,2,43,0,75
10,0,2,44,2,76
10,0,2,46,0,67
10,0,2,47,2,75
10,0,2,48,0,71
10,0,2,49,2,72
10,0,2,50,0,76
10,0,2,51,2,70
10,0,2,52,0,74
10,0,2,53,2,73
10,0,2,54,0,72
10,0,2,55,2,68
10,0,2,57,0,60
10,0,2,58,2,71
10,0,2,59,0,70
10,0,2,60,2,66
10,0,2,61,0,62
10,0,2,62,2,69
10,0,2,63,0,68
10,0,2,64,2,65
10,0,2,65,0,63
10,0,2,66,2,67
10,0,2,67,0,66
10,0,3,0,2,63
10,0,3,1,0,126
10,0,3,2,2,127
10,0,3,3,0,125
10,0,3,4,2,126
10,0,3,5,0,124
10,0,3,6,2,125
10,0,3,7,0,123
10,0,3,8,2,124
10,0,3,9,0,122
10,0,3,10,2,123
10,0,3,12,0,121
10,0,3,13,2,122
10,0,3,14,0,120
10,0,3,15,2,121
10,0,3,16,0,119
10,0,3,17,2,120
10,0,3,18,0,118
10,0,3,19,2,119
10,0,3,20,0,117
10,0,3,21,2,118
10,0,3,23,0,116
10,0,3,24,2,117
10,0,3,25,0,115
10,0,3,26,2,116
10,0,3,27,0,114
10,0,3,28,2,115
10,0,3,29,0,113
10,0,3,30,2,114
10,0,3,31,0,112
10,0,3,32,2,113
10,0,3,33,0,111
10,0,3,34,2,112
10,0,3,35,0,110
10,0,3,36,2,111
10,0,3,37,0,109
10,0,3,38,2,110
10,0,3,39,0,108
10,0,3,40,2,109
10,0,3,41,0,106
10,0,3,42,2,108
10,0,3,43,0,107
10,0,3,44,2,107
10,0,3,46,0,104
10,0,3,47,2,106
10,0,3,48,0,102
10,0,3,49,2,105
10,0,3,50,0,105
10,0,3,51,2,104
10,0,3,52,0,100
10,0,3,53,2,103
10,0,3,54,0,103
10,0,3,55,2,102
10,0,3,57,0,98
10,0,3,58,2,101
10,0,3,59,0,101
10,0,3,60,2,100
10,0,3,61,0,97
10,0,3,62,2,99
10,0,3,63,0,99
10,0,3,64,2,98
10,0,3,65,0,96
10,0,3,66,2,97
10,0,3,67,0,69
