CoboID,AsadID,AgetID,ChannelID,DetKeyword,PadID
7,3,3,43,pad,8795
7,3,3,44,pad,8577
7,3,3,46,pad,8796
7,3,3,47,pad,8578
7,3,3,48,pad,8588
7,3,3,49,pad,8362
7,3,3,50,pad,8587
7,3,3,51,pad,9520
7,3,3,52,pad,8371
7,3,3,53,pad,8784
7,3,3,54,pad,8794
7,3,3,55,pad,8783
7,3,3,57,pad,8793
7,3,3,58,pad,8575
7,3,3,59,pad,8585
7,3,3,60,pad,8576
7,3,3,61,pad,8586
7,3,3,62,pad,8360
7,3,3,63,pad,8370
7,3,3,64,pad,8982
7,3,3,65,pad,9254
7,3,3,66,pad,8980
7,3,3,67,pad,9253
7,3,2,0,pad,8981
7,3,2,1,pad,9605
7,3,2,2,pad,8979
7,3,2,3,pad,9160
7,3,2,4,pad,8781
7,3,2,5,pad,9252
7,3,2,6,pad,8779
7,3,2,7,pad,9159
7,3,2,8,pad,9604
7,3,2,9,pad,9158
7,3,2,10,pad,8782
7,3,2,12,pad,8977
7,3,2,13,pad,9603
7,3,2,14,pad,8978
7,3,2,15,pad,8780
7,3,2,16,pad,8778
7,3,2,17,pad,8574
7,3,2,18,pad,8777
7,3,2,19,pad,8572
7,3,2,20,pad,8569
7,3,2,21,pad,8573
7,3,2,23,pad,8570
7,3,2,24,pad,8571
7,3,2,25,pad,8975
7,3,2,26,pad,8357
7,3,2,27,pad,8976
7,3,2,28,pad,9433
7,3,2,29,pad,8776
7,3,2,30,pad,9343
7,3,2,31,pad,9686
7,3,2,32,pad,9251
7,3,2,33,pad,9685
7,3,2,34,pad,9157
7,3,2,35,pad,8775
7,3,2,36,pad,7209
7,3,2,37,pad,8567
7,3,2,38,pad,9519
7,3,2,39,pad,9518
7,3,2,40,pad,9684
7,3,2,41,pad,9431
7,3,2,42,pad,9432
7,3,2,43,pad,9341
7,3,2,44,pad,9342
7,3,2,46,pad,9249
7,3,2,47,pad,9250
7,3,2,48,pad,9155
7,3,2,49,pad,9156
7,3,2,50,pad,9517
7,3,2,51,pad,9689
7,3,2,52,pad,9340
7,3,2,53,pad,8974
7,3,2,54,pad,9248
7,3,2,55,pad,8973
7,3,2,57,pad,9154
7,3,2,58,pad,8773
7,3,2,59,pad,9763
7,3,2,60,pad,8774
7,3,2,61,pad,8969
7,3,2,62,pad,8972
7,3,2,63,pad,8970
7,3,2,64,pad,8971
7,3,2,65,pad,8967
7,3,2,66,pad,8771
7,3,2,67,pad,8968
7,3,1,0,pad,8772
7,3,1,1,pad,8770
7,3,1,2,pad,9762
7,3,1,3,pad,8768
7,3,1,4,pad,9761
7,3,1,5,pad,8966
7,3,1,6,pad,9683
7,3,1,7,pad,8965
7,3,1,8,pad,9602
7,3,1,9,pad,8964
3,2,1,10,pad,9041
3,2,1,12,pad,8430
3,2,1,13,pad,7487
3,2,1,14,pad,9361
3,2,1,15,pad,9360
3,2,1,16,pad,8207
3,2,1,17,pad,7488
3,2,1,18,pad,8206
3,2,1,19,pad,7733
3,2,1,20,pad,9043
3,2,1,21,pad,7732
3,2,1,23,pad,9044
3,2,1,24,pad,7237
3,2,1,25,pad,8431
3,2,1,26,pad,7489
3,2,1,27,pad,8208
3,2,1,28,pad,7490
3,2,1,29,pad,8209
3,2,1,30,pad,7735
3,2,1,31,pad,9045
3,2,1,32,pad,7734
3,2,1,33,pad,9046
3,2,1,34,pad,7240
3,2,1,35,pad,9042
3,2,1,36,pad,7492
3,2,1,37,pad,8204
3,2,1,38,pad,7491
3,2,1,39,pad,8205
3,2,1,40,pad,9359
3,2,1,41,pad,9451
3,2,1,42,pad,9450
3,2,1,43,pad,8428
3,2,1,44,pad,7736
3,2,1,46,pad,9040
3,2,1,47,pad,7737
3,2,1,48,pad,9039
3,2,1,49,pad,8196
3,2,1,50,pad,8203
3,2,1,51,pad,7966
3,2,1,52,pad,8202
3,2,1,53,pad,7967
3,2,1,54,pad,8425
3,2,1,55,pad,8422
3,2,1,57,pad,8201
3,2,1,58,pad,8199
3,2,1,59,pad,8200
3,2,1,60,pad,8198
3,2,1,61,pad,8423
3,2,1,62,pad,7968
3,2,1,63,pad,8840
3,2,1,64,pad,7969
3,2,1,65,pad,8839
