bin_497    55.7912 -29.606 866
bin_498    59.0782 -31.7023 869
bin_499    45.5382 -31.7023 857
bin_500    42.2512 -22.836 776
bin_501    62.5608 -29.6055 872
bin_502    58.7819 11.6881 44
bin_503    52.0119 11.6881 42
bin_504    16.3871 22.2418 83
bin_505    24.9314 18.4578 60
bin_506    18.1614 18.4579 58
bin_507    23.5706 21.2331 85
bin_508    22.8354 35.4805 137
bin_509    20.5742 42.4076 163
bin_510    18.1621 25.2279 84
bin_511    25.035 106.559 440
bin_512    16.0652 15.1707 57
bin_513    11.3915 18.4578 56
bin_514    16.9431 28.688 109
bin_515    11.3921 25.2278 82
bin_516    9.29516 15.1707 55
bin_517    2.52568 8.40101 27
bin_518    18.1621 31.9978 110
bin_519    4.62193 11.6881 28
bin_520    4.62143 18.4578 54
bin_521    11.3921 31.9978 108
bin_522    9.29589 28.7108 107
bin_523    9.29589 21.9407 81
bin_524    2.5259 21.9407 79
bin_525    16.2827 35.4812 135
bin_526    4.62216 25.2278 80
bin_527    2.5259 28.7108 105
bin_528    4.62216 31.9978 106
bin_529    9.29543 35.4805 133
bin_530    2.52545 35.4805 131
bin_531    11.3916 38.7675 134
bin_532    18.1616 38.7676 136
bin_533    4.62166 38.7675 132
bin_534    2.52556 42.2511 157
bin_535    9.29554 42.2511 159
bin_536    16.535 42.2327 161
bin_537    18.1617 52.3083 188
bin_538    -52.3086 45.2418 1018
bin_539    4.62181 45.5381 158
bin_540    11.3918 45.5381 160
bin_541    2.52556 49.0211 183
bin_542    18.1618 45.5381 162
bin_543    -55.7916 43.1456 1021
bin_544    9.29554 49.0211 185
bin_545    4.62181 52.3082 184
bin_546    16.4432 49.0187 187
bin_547    2.52556 55.7912 209
bin_548    4.62181 59.0781 210
bin_549    9.29554 55.7912 211
bin_550    11.3918 52.3082 186
bin_551    2.5251 62.5608 235
bin_552    4.62132 65.8478 236
bin_553    9.29508 62.5608 237
bin_554    11.3918 59.0781 212
bin_555    2.52583 69.3309 261
bin_556    16.332 55.7849 213
bin_557    4.62204 72.6179 262
bin_558    9.29581 69.3309 263
bin_559    11.3913 65.8478 238
bin_560    18.1982 64.9549 240
bin_561    16.0658 69.3309 265
bin_562    18.1617 59.0783 214
bin_563    16.529 62.5488 239
bin_564    16.0658 76.1008 291
bin_565    11.392 79.3879 290
bin_566    11.392 72.6179 264
bin_567    9.29581 76.1008 289
bin_568    2.52533 82.8705 313
bin_569    4.62204 79.3879 288
bin_570    2.52583 76.1008 287
bin_571    -89.6412 29.6058 1573
bin_572    -15.1712 56.6852 1141
bin_573    -18.4582 58.7814 1144
bin_574    -21.9413 56.6859 1147
bin_575    -55.7916 49.9155 1099
bin_576    -49.0216 49.9155 1093
bin_577    -15.1712 63.4552 1219
bin_578    -28.7113 56.6859 1153
bin_579    -25.2283 58.7821 1150
bin_580    -42.2516 49.9155 1087
bin_581    -38.768 52.0116 1084
bin_582    -35.481 49.9155 1081
bin_583    -18.4582 65.5514 1222
bin_584    -21.9413 63.4559 1225
bin_585    -31.9983 52.0122 1078
bin_586    -28.7113 49.9159 1075
bin_587    -25.2283 52.0122 1072
bin_588    24.9321 31.9978 112
bin_589    -21.9413 49.9159 1069
bin_590    -18.4582 52.0115 1066
bin_591    -15.1712 49.9151 1063
bin_592    -18.4582 45.2415 988
bin_593    22.8352 15.1707 59
bin_594    -31.9983 45.2421 1000
bin_595    -38.768 45.2417 1006
bin_596    -42.2516 43.1456 1009
bin_597    -35.481 43.1454 1003
bin_598    24.9316 38.7676 138
bin_599    -28.7113 43.1459 997
bin_600    -21.9413 43.1459 991
bin_601    -45.5386 45.2418 1012
bin_602    -49.0216 43.1456 1015
bin_603    29.6056 42.2511 165
bin_604    31.7018 45.5381 166
bin_605    90.5354 35.4805 361
bin_606    92.6321 31.9978 358
bin_607    112.942 31.9978 484
bin_608    24.9318 45.5381 164
bin_609    106.172 31.9978 446
bin_610    99.4021 31.9978 404
bin_611    110.845 35.4805 487
